,0
329,1064383.0123631516
330,1064482.453442745
331,1064536.6621671717
332,1064608.2997362602
333,1064772.660154713
334,1065124.5638192547
335,1065692.9093705013
336,1065459.5048207429
337,1064838.5345776377
338,1064290.4991102666
339,1065204.906620876
340,1065333.4925350659
341,1065160.2138638902
342,1065310.0156101782
343,1064558.6826843102
344,1064618.583402561
345,1065642.1609871709
346,1066214.0252072497
347,1066346.610173592
348,1067113.2950625697
349,1066221.0422851248
350,1066069.3361031602
351,1066618.0856701618
352,1065548.7626925157
353,1066045.4753637933
354,1065189.1001345485
355,1065185.289412262
356,1064752.5405602849
357,1064694.5630473741
358,1064989.3248708232
359,1066148.1891435138
360,1066225.6148572615
361,1066436.8317125323
362,1066466.6595896478
363,1067102.1965416558
364,1067304.6466121871
365,1067254.7193820816
366,1067272.0578801094
367,1067538.6014114942
368,1067908.115377987
369,1068460.3790561415
370,1068917.90438169
371,1068381.12115641
372,1068294.3308334236
373,1067896.2394351552
374,1066770.0574018005
375,1066803.2100500327
376,1066862.6625117022
377,1067013.834356027
378,1066771.1194176686
