,Date,Open,High,Low,Close,Volume,pct_change,turnover,Amount,change_amount,Amplitude,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,Signal_Line,MACD_Histogram,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_yes,Open_yes,High_yes,Low_yes,prediction,predict_percentages,actual_percentage
1994,2024-04-02,37.18987668,37.90035522,37.18987668,37.55736558,11566361,0.4258,0.5546,354765751.89,0.15924519000000004,1.8917155903457379,2024,4,2,37.09187964,37.510816985999995,38.02591392750001,46.73684210526319,-0.3458164833290738,-0.22419880059408587,-0.12161768273498791,50.4094845794852,37.94935374,0.7843388896809225,39.51803151936184,36.38067596063816,24.05,0.42581067802160977,0.868848756428573,37.39812039,36.3814011,37.4838678,36.3814011,37.65739028895995,0.6932698655873537,0.6942
1995,2024-04-03,37.20212631,37.71661077,37.20212631,37.38587076,6279168,-0.4566,0.3011,191998812.14,-0.1714948199999995,1.3761467889908405,2024,4,3,37.091879639999995,37.465493355,37.94935374,46.34655532359086,-0.3329545098093334,-0.2459499424371354,-0.087004567372198,50.406516496851545,37.883205738,0.7726154788210663,39.428436695642134,36.33797478035787,24.05,-0.45662100456620447,0.8548491792857159,37.55736558,37.18987668,37.90035522,37.18987668,37.43963347411406,-0.3134727478027344,-0.9714999999999999
1996,2024-04-08,36.66314259,37.26337446,36.66314259,36.74889,6332413,-1.7038,0.3036,191023456.27,-0.6369807600000001,1.633333333333338,2024,4,8,37.162927494,37.357696611,37.883205738,42.12523719165088,-0.36989639164077204,-0.27073923227786273,-0.09915715936290931,50.4033782504824,37.799908254,0.8015454484451048,39.40299915089021,36.19681735710979,24.05,-1.7038007863695914,0.8767235185714303,37.38587076,37.20212631,37.71661077,37.20212631,37.27254718615181,-0.30311872251331806,-0.7595
1997,2024-04-09,36.34465221,36.9938826,36.34465221,36.51614703,6948014,-0.6333,0.3332,207206457.2,-0.23274297000000388,1.7779268701777917,2024,4,9,37.123728678000006,37.172727198000004,37.799908254,34.412955465587075,-0.41319050872647267,-0.2992294875675847,-0.11396102115888795,50.399877916829126,37.7000737695,0.8318484303121882,39.36377063012438,36.036376908875624,24.05,-0.6333333333333413,0.8679737828571444,36.74889,36.66314259,37.26337446,36.66314259,36.735589092533864,-0.03619403869379312,0.2551
1998,2024-04-10,35.41368033,36.51614703,35.41368033,35.56067589,7900715,-2.6166,0.3789,231434884.92,-0.9554711400000002,3.1002411298656587,2024,4,10,37.121278752,37.07595512100001,37.7000737695,31.481481481481538,-0.5186215972839108,-0.34310790951084996,-0.1755136877730608,50.39562599200031,37.519391727000006,0.8855023953234105,39.290396517646826,35.748386936353185,24.05,-2.616571620261654,0.8950979635714299,36.51614703,36.34465221,36.9938826,36.34465221,36.58689029606024,0.1937314635142684,1.7176
1999,2024-04-11,35.21768625,35.87916627,35.21768625,35.58517515,5987423,0.0689,0.2871,173926422.77,0.024499259999998912,1.8588640275387238,2024,4,11,36.753789852000004,36.922834746,37.519391727000006,26.732673267326774,-0.5933597274382194,-0.39315827309632384,-0.20020145434189557,50.3924106841536,37.3191102765,0.8443735286313824,39.007857333762765,35.63036321923723,24.05,0.06889424733034222,0.8985978578571441,35.56067589,35.41368033,36.51614703,35.41368033,35.68541990712211,0.35079203080385923,1.0632
2000,2024-04-12,33.90697584,35.69542182,33.90697584,34.20096696,14242526,-3.8898,0.683,402125510.71,-1.3842081899999954,5.229226361031515,2024,4,12,36.359351766,36.725615703,37.3191102765,20.428336079077468,-0.7555744744543986,-0.4656415133679388,-0.28993296108645983,50.38405344719583,37.132303418999996,1.0806755144967926,39.29365444799358,34.97095239000641,24.05,-3.889845094664357,0.9449714571428584,35.58517515,35.21768625,35.87916627,35.21768625,35.76549819661658,0.5067364312708378,-4.177
2001,2024-04-15,34.13971881,35.75666997,34.13971881,35.71992108,15010899,4.4413,0.7198,431996717.91,1.5189541199999965,4.526748971193414,2024,4,15,35.722371005999996,36.44264925,37.132303418999996,38.75,-0.7528851359120381,-0.5230902378767587,-0.22979489803527942,50.37608053457131,37.0275690825,1.1121158295818812,39.251800741663764,34.80333742333624,24.05,4.441260744985653,0.9572210871428583,34.20096696,33.90697584,35.69542182,33.90697584,34.4585793162073,0.7532312069088221,-0.3229
2002,2024-04-16,34.85019735,35.80566849,34.85019735,34.97269365,9952744,-2.0919,0.4772,286550097.4,-0.7472274300000024,2.732049036777584,2024,4,16,35.516577222,36.32015295000001,37.0275690825,37.07025411061283,-0.801806102855636,-0.5788334108725341,-0.22297269198310188,50.37052972338383,36.8879233005,1.1873681989199993,39.262659698339995,34.51318690266,24.05,-2.091906721536363,0.9729706114285729,35.71992108,34.13971881,35.75666997,34.13971881,35.97245286496789,0.7069774437695742,-0.1296
2003,2024-04-17,34.64195364,35.79341886,34.64195364,35.79341886,10341036,2.3468,0.4959,298562381.32,0.8207252100000062,3.2169746748802344,2024,4,17,35.207886546,36.164582648999996,36.8879233005,39.68481375358168,-0.765526147351558,-0.6161719581683389,-0.14935418918321908,50.36507377408891,36.757464741,1.1550884552508456,39.06764165150169,34.44728783049831,24.05,2.346760070052567,1.014094369285716,34.97269365,34.85019735,35.80566849,34.85019735,35.18475316570726,0.6063573993742466,1.6867
