tic,type,quantity,price,day
000338,sell,100,15.08048299845308,9
002001,buy,100,24.37487521125935,9
600795,buy,100,4.682138010691852,9
002600,buy,100,15.452040477618574,9
000776,buy,100,21.549990515504035,9
002905,sell,100,9.370147581915372,10
601877,sell,100,27.788038532668722,10
300442,sell,100,57.079442495098334,10
000338,sell,100,14.728157411515712,10
002001,buy,100,24.605761841125787,10
600795,buy,100,4.813226263471878,10
002600,buy,100,15.742263898369856,10
000776,buy,100,21.152214755807073,10
002905,sell,100,9.520993634257467,11
601877,sell,100,28.58666158456355,11
300442,sell,100,53.45686226254329,11
000338,sell,100,14.715085479486733,11
002001,buy,100,24.678656319023574,11
600795,buy,100,4.833375255565625,11
002600,buy,100,14.486180465202779,11
000776,buy,100,20.687338242195548,11
002905,sell,100,10.512055229994003,12
601877,sell,100,30.532290624082087,12
300442,sell,100,53.51822395492345,12
000338,sell,100,14.617147739045322,12
002001,buy,100,24.07479027673602,12
600795,buy,100,4.809786052745148,12
002600,buy,100,13.970152381062508,12
000776,buy,100,19.991360207013788,12
002905,sell,100,10.69409424585756,13
601877,sell,100,29.42321516856551,13
300442,sell,100,52.28510745540262,13
000338,sell,100,14.420812875693663,13
002001,buy,100,24.190734342951327,13
600795,buy,100,4.844205938105006,13
002600,buy,100,13.603625171959866,13
000776,buy,100,19.734232224076983,13
002905,sell,100,10.140724751474336,14
601877,sell,100,29.90115445777774,14
300442,sell,100,56.19076339121908,14
000338,sell,100,14.583437139242887,14
002001,buy,100,23.70019436492585,14
600795,buy,100,4.870292222183197,14
002600,buy,100,13.9540145674604,14
000776,buy,100,20.029811151791364,14
002905,sell,100,10.235955360956723,15
601877,sell,100,29.80560286220163,15
300442,sell,100,54.86025127910078,15
000338,sell,100,14.3292288498953,15
002001,buy,100,23.847542169993975,15
600795,buy,100,4.976213985430077,15
002600,buy,100,14.045514210825786,15
000776,buy,100,19.87061132591218,15
002905,sell,100,10.238952560080216,16
601877,sell,100,29.26869993399829,16
300442,sell,100,51.38589741421864,16
000338,sell,100,14.30109919313807,16
002001,buy,100,24.306817008815703,16
600795,buy,100,5.005225074924528,16
002600,buy,100,13.665864229742438,16
000776,buy,100,20.15165833817795,16
002905,sell,100,11.205342898461968,17
601877,sell,100,28.751028549000623,17
300442,sell,100,50.982887231111526,17
000338,sell,100,14.222082892698236,17
002001,buy,100,24.620847792867572,17
600795,buy,100,5.0845969743328165,17
002600,buy,100,13.622411902248858,17
000776,buy,100,20.121898755580187,17
002905,sell,100,12.246000233106315,18
601877,sell,100,29.257844717130066,18
300442,sell,100,52.770181767882605,18
000338,sell,100,14.299936664206907,18
002001,buy,100,24.35318720826879,18
600795,buy,100,5.075618096082471,18
002600,buy,100,14.432724486999213,18
000776,buy,100,20.732436860445887,18
002905,sell,100,13.345977596044541,19
601877,sell,100,28.411109430119396,19
300442,sell,100,54.969661393426364,19
000338,sell,100,14.016427796566859,19
002001,buy,100,24.107676915116606,19
600795,buy,100,5.057056163109373,19
002600,buy,100,14.246741385399364,19
000776,buy,100,20.635368970036506,19
002905,sell,100,12.751949024610221,20
601877,sell,100,28.139617509562523,20
300442,sell,100,54.379302978515625,20
000338,sell,100,13.901323293782772,20
002001,buy,100,25.011281186391134,20
600795,buy,100,5.066826047459617,20
002600,buy,100,14.571041458612308,20
000776,buy,100,20.782682064548133,20
002905,sell,100,12.770001193508506,21
601877,sell,100,27.83644440319389,21
300442,sell,100,56.20317364279181,21
000338,sell,100,13.795608389573172,21
002001,buy,100,24.453436936555224,21
600795,buy,100,5.058627755851485,21
002600,buy,100,15.248440016959794,21
000776,buy,100,20.626787720248103,21
002905,sell,100,13.160200024545192,22
601877,sell,100,28.33344909213949,22
300442,sell,100,55.56221391633153,22
000338,sell,100,13.929646942159161,22
002001,buy,100,23.93894373189658,22
600795,buy,100,5.090160825185012,22
002600,buy,100,14.89539396610111,22
000776,buy,100,20.72338409200311,22
002905,sell,100,14.393776080608367,23
601877,sell,100,28.052787678851747,23
300442,sell,100,54.188530787564815,23
000338,sell,100,13.813968193847105,23
002001,buy,100,24.217095358483494,23
600795,buy,100,4.961625666172476,23
002600,buy,100,14.417713538785465,23
000776,buy,100,19.94827291980386,23
002905,sell,100,12.989064204692841,24
601877,sell,100,28.09788936072495,24
300442,sell,100,52.960870977155864,24
000338,sell,100,13.847149301390164,24
002001,buy,100,23.760684192483314,24
600795,buy,100,4.9234055972832715,24
002600,buy,100,13.98980549788219,24
000776,buy,100,19.881416592234743,24
002905,sell,100,11.810689415037631,25
601877,sell,100,27.51746548008174,25
300442,sell,100,54.003732084203506,25
000338,sell,100,13.724736545914785,25
002001,buy,100,24.03351781795267,25
600795,buy,100,4.923784169643186,25
002600,buy,100,15.239991080784238,25
000776,buy,100,20.240150560159236,25
002905,sell,100,10.711158032789827,26
601877,sell,100,28.21447525795491,26
300442,sell,100,53.059357073307034,26
000338,sell,100,13.800041207093745,26
002001,buy,100,23.754334701150658,26
600795,buy,100,4.954502242170274,26
002600,buy,100,15.127697880354244,26
000776,buy,100,20.100720808291808,26
002905,sell,100,10.435747278854251,27
601877,sell,100,28.451723001979992,27
300442,sell,100,54.56039666382596,27
000338,sell,100,13.820727699995041,27
002001,buy,100,23.112343754901087,27
600795,buy,100,4.925650201765238,27
002600,buy,100,15.578766427345109,27
000776,buy,100,20.25070028107613,27
002905,sell,100,10.538189314603807,28
601877,sell,100,28.895632999865338,28
300442,sell,100,56.350028256699446,28
000338,sell,100,13.486295997821728,28
002001,buy,100,23.211031525786968,28
600795,buy,100,4.886913275003317,28
002600,buy,100,15.866435880982317,28
000776,buy,100,20.461253708973526,28
002905,sell,100,10.205946368128062,29
601877,sell,100,28.985761791565455,29
300442,sell,100,53.23765562223271,29
000338,sell,100,13.443805915131234,29
002001,buy,100,23.508193630797905,29
600795,buy,100,4.897902733832598,29
002600,buy,100,14.680997442846419,29
000776,buy,100,20.39567327208817,29
002905,sell,100,10.276957155391573,30
601877,sell,100,29.20531593439169,30
300442,sell,100,53.610935527458786,30
000338,sell,100,13.614810035671107,30
002001,buy,100,23.57323491714429,30
600795,buy,100,4.887680843910493,30
002600,buy,100,16.14089024061337,30
000776,buy,100,22.252139769494534,30
002905,sell,100,10.291517226025462,31
601877,sell,100,30.266087380899116,31
300442,sell,100,53.898894468275834,31
000338,sell,100,13.714317973991855,31
002001,buy,100,24.106973420083524,31
600795,buy,100,4.878534178296104,31
002600,buy,100,16.256218902384862,31
000776,buy,100,21.51248902052641,31
002905,sell,100,9.764295564144849,32
601877,sell,100,31.446544787585733,32
300442,sell,100,54.98596784550697,32
000338,sell,100,14.021164862777805,32
002001,buy,100,23.404259873293338,32
600795,buy,100,5.076627163145458,32
002600,buy,100,17.18727746203076,32
000776,buy,100,22.320602612271905,32
002905,sell,100,9.884325417950748,33
601877,sell,100,30.155635874196886,33
300442,sell,100,51.081274752505124,33
000338,sell,100,13.922035828186198,33
002001,buy,100,24.858323855277266,33
600795,buy,100,5.076731003320311,33
002600,buy,100,16.031792242079973,33
000776,buy,100,23.232040425855665,33
002905,sell,100,9.96946237757802,34
601877,sell,100,29.384019814655186,34
300442,sell,100,50.90799243681133,34
000338,sell,100,13.883491276167334,34
002001,buy,100,24.529960838193077,34
600795,buy,100,5.062551678468007,34
002600,buy,100,15.293246693075634,34
000776,buy,100,22.654311012569813,34
002905,sell,100,10.04820833306294,35
601877,sell,100,29.31445560324937,35
300442,sell,100,48.98874029517174,35
000338,sell,100,14.157645704552996,35
002001,buy,100,24.117419303129427,35
600795,buy,100,5.058871226088085,35
002600,buy,100,15.505207092395285,35
000776,buy,100,22.936157293953002,35
002905,sell,100,10.482764535192402,36
601877,sell,100,30.394828257896005,36
300442,sell,100,49.101222274638715,36
000338,sell,100,14.339445024742744,36
002001,buy,100,23.57296799448144,36
600795,buy,100,5.016503373022424,36
002600,buy,100,15.65472431000555,36
000776,buy,100,24.173637079233302,36
002905,sell,100,10.434739307127892,37
601877,sell,100,32.02129202246666,37
300442,sell,100,48.10781401451677,37
000338,sell,100,14.291627969974142,37
002001,buy,100,23.619708297261965,37
600795,buy,100,5.034801206281409,37
002600,buy,100,15.111530844719383,37
000776,buy,100,24.017000067103655,37
002905,sell,100,10.210399118848146,38
601877,sell,100,30.620928457081316,38
300442,sell,100,46.297919201385234,38
000338,sell,100,14.080878786267712,38
002001,buy,100,23.804242657874713,38
600795,buy,100,5.013830538408365,38
002600,buy,100,14.1197835706966,38
000776,buy,100,23.142613534573464,38
002905,sell,100,10.391015842426567,39
601877,sell,100,29.953807302564382,39
300442,sell,100,46.72643658936023,39
000338,sell,100,14.144101524688304,39
002001,buy,100,23.23929050571285,39
600795,buy,100,4.992691623629071,39
002600,buy,100,14.370971725359558,39
000776,buy,100,22.417130877301098,39
002905,sell,100,10.442761301659049,40
601877,sell,100,29.37271678879857,40
300442,sell,100,46.880346352793275,40
000338,sell,100,14.317207726528869,40
002001,buy,100,23.231093991687523,40
600795,buy,100,4.993212930858135,40
002600,buy,100,14.97901464276889,40
000776,buy,100,22.452872126586737,40
002905,sell,100,10.426854275092483,41
601877,sell,100,29.000266839470715,41
300442,sell,100,46.93909964635968,41
000338,sell,100,14.383566289162262,41
002001,buy,100,23.26601297886227,41
600795,buy,100,4.964140981496311,41
002600,buy,100,14.756225412774366,41
000776,buy,100,22.000053005395454,41
002905,sell,100,10.601316955676303,42
601877,sell,100,28.796414779103362,42
300442,sell,100,47.110673596896234,42
000338,sell,100,14.287853128686548,42
002001,buy,100,23.01648704152496,42
600795,buy,100,5.093254590081051,42
002600,buy,100,14.613558387419907,42
000776,buy,100,22.354563823118806,42
002905,sell,100,10.4791770269908,43
601877,sell,100,29.179576811834703,43
300442,sell,100,47.75622984342277,43
000338,sell,100,14.300175338890403,43
002001,buy,100,23.26413515722379,43
600795,buy,100,5.0046435185882725,43
002600,buy,100,15.286598410180304,43
000776,buy,100,22.62741478443146,43
002905,sell,100,10.583873587753622,44
601877,sell,100,29.126771920607425,44
300442,sell,100,47.82018101198599,44
000338,sell,100,14.284688689718022,44
002001,buy,100,23.17420719986083,44
600795,buy,100,5.202993926825002,44
002600,buy,100,15.797168572125374,44
000776,buy,100,23.07587122960016,44
002905,sell,100,10.66669620551169,45
601877,sell,100,28.711400590464475,45
300442,sell,100,48.32884468864649,45
000338,sell,100,14.27775747246109,45
002001,buy,100,23.57620438494487,45
600795,buy,100,5.273702113106847,45
002600,buy,100,15.837099257586814,45
000776,buy,100,22.68451233867556,45
002905,sell,100,10.613261014781893,46
601877,sell,100,30.51238757075742,46
300442,sell,100,48.22080123089254,46
000338,sell,100,14.403624194487929,46
002001,buy,100,23.35851411405252,46
600795,buy,100,5.345484673677128,46
002600,buy,100,16.1900160730246,46
000776,buy,100,23.61858282633126,46
002905,sell,100,10.515613968372346,47
