tic,type,quantity,price,high,low,day
300442,buy,100,21.86768496338278,22.07,21.35,2024-08-28
600795,buy,100,5.148471676111221,5.3,5.12,2024-08-28
002905,buy,100,5.64539857370779,5.73,5.51,2024-08-28
000776,buy,100,11.091817798819392,11.06,10.9,2024-08-28
601877,sell,100,16.432720113052056,17.03,16.46,2024-08-29
002001,sell,100,18.67135086916387,18.85,18.26,2024-08-29
601336,buy,100,37.81451498029702,39.1873734,37.98956115,2024-08-29
601628,buy,100,31.863356944215486,32.49,31.58,2024-08-29
601319,buy,100,6.7354760852231115,7.0312077,6.6854106,2024-08-29
300442,buy,100,22.293877389431003,22.16,21.47,2024-08-29
600795,buy,100,5.2278801938286055,5.24,5.06,2024-08-29
002905,buy,100,5.773840953558683,5.74,5.6,2024-08-29
000776,buy,100,10.975585409794002,11.06,10.9,2024-08-29
002001,sell,100,18.437721967655236,18.79,18.11,2024-08-30
601336,buy,100,37.55665747283338,41.7847347,39.1117221,2024-08-30
601628,buy,100,31.72523283252027,32.85,31.48,2024-08-30
601319,buy,100,6.774341130628874,6.97357485,6.71999031,2024-08-30
300442,buy,100,22.163859348278493,23.22,21.78,2024-08-30
601877,buy,100,16.75296285341028,17.21,16.66,2024-08-30
600795,buy,100,5.107832226094324,5.14,4.96,2024-08-30
002905,buy,100,5.809338256157935,5.96,5.69,2024-08-30
000776,buy,100,10.980958933848887,11.32,10.92,2024-08-30
002001,sell,100,18.617508489551255,18.55,18.23,2024-09-02
601336,buy,100,41.20458306873172,42.4403793,41.3308269,2024-09-02
601628,buy,100,32.556793526241094,33.61,32.48,2024-09-02
601319,buy,100,6.960177371715462,7.12342026,6.86983572,2024-09-02
300442,buy,100,22.700702580576763,23.05,21.94,2024-09-02
601877,buy,100,16.863379094400443,18.42,17.38,2024-09-02
600795,buy,100,5.068294403341133,5.2,5.02,2024-09-02
002905,buy,100,5.988725402206183,5.93,5.72,2024-09-02
000776,buy,100,11.280779650742188,11.79,11.47,2024-09-02
002001,sell,100,18.75395675584674,18.8,18.26,2024-09-03
601336,buy,100,41.154650080770125,41.92342875,41.103873,2024-09-03
601628,buy,100,33.26829343162477,33.59,32.93,2024-09-03
601319,buy,100,7.12575767042218,7.16952654,6.95052171,2024-09-03
300442,buy,100,21.261134920753538,22.41,21.93,2024-09-03
601877,buy,100,17.973297926667147,18.14,17.85,2024-09-03
600795,buy,100,5.170423883283511,5.2,5.01,2024-09-03
